,id,addresses,titles,areas,bedrooms,bathrooms,parkingSpots,prices
0,2681786393,"Rua Bromélias Brancas, 1 - Jardim das Margaridas, Salvador - BA","  Casa com 3 Quartos à Venda, 100m²  ", 100 , 3 , 2 , 2 ,     R$ 130.000     
1,2503191633,"Rua Parambu, 596 - Santa Teresa, Salvador - BA",  Residencial Ilha de Creta  , 57 , 2 , 2 , 2 , A partir de     R$ 426.000     
2,2681756094,"Rua Itabuna, 172 - Rio Vermelho, Salvador - BA","  Casa com 3 Quartos à Venda, 126m²  ", 126 , 3 , 1 , 1 ,     R$ 95.000     
3,2681790012,"Alameda Nossa Senhora do Resgate, 1 - Resgate, Salvador - BA","  Apartamento com 2 Quartos à Venda, 50m²  ", 50 , 2 , 1 , 1 ,     R$ 125.000      Preço abaixo do mercado  
4,2681849298,"Rua Ariston Bertino de Carvalho, 512 - Brotas, Salvador - BA","  Apartamento com 2 Quartos à Venda, 79m²  ", 79 , 2 , 1 , 1 ,     R$ 90.000     
5,2681686260,"Caminho 01-Quadra 02, 99 - Castelo Branco, Salvador - BA","  Casa com 2 Quartos à Venda, 70m²  ", 70 , 2 , 2 , 2 ,     R$ 50.000     
6,2681731219,"Rua Henrique Dias, 1 - Bonfim, Salvador - BA","  Casa com 3 Quartos à Venda, 90m²  ", 90 , 3 , 2 , 2 ,     R$ 100.000     
7,2681712335,"Alameda Praia de Guarujá, 250 - Stella Maris, Salvador - BA","  Apartamento com 2 Quartos à Venda, 75m²  ", 75 , 2 , 2 , 1 ,     R$ 450.000     
8,2539507788,"Rua Doutor Genésio Salles, 262 - Vila Laura, Salvador - BA",  Palazzo Vila Laura  , 61-89 , 2-3 , 2-3 , 1-2 , A partir de     R$ 464.230     
9,2681231688,"Rua Juçara, 10 - Ribeira, Salvador - BA","  Casa com 3 Quartos à Venda, 90m²  ", 90 , 3 , 2 , -- ,     R$ 80.000     
10,2681732407,"Rua Barreto Pedroso, 2 - Pituaçu, Salvador - BA","  Apartamento com 3 Quartos à Venda, 74m²  ", 74 , 3 , 3 , 1 ,     R$ 348.000      Preço abaixo do mercado  
