id,areas,bedrooms,bathrooms,parkingSpots,prices,type,neighborhood
2681756094,126.0,3.0,1.0,1.0,95000,house,Rio Vermelho
2529929204,50.5,1.5,1.5,1.5,289000,apartment,Santa Teresa
2681790012,50.0,2.0,1.0,1.0,125000,apartment,Resgate
2681849298,79.0,2.0,1.0,1.0,90000,apartment,Brotas
2681686260,70.0,2.0,2.0,2.0,50000,house,Castelo Branco
2681731219,90.0,3.0,2.0,2.0,100000,house,Bonfim
2681712335,75.0,2.0,2.0,1.0,450000,apartment,Stella Maris
2681231688,90.0,3.0,2.0,,80000,house,Ribeira
2680859709,174.0,4.0,4.0,2.0,549670,apartment,Costa Azul
2681795340,69.0,2.0,1.0,,84000,apartment,Cajazeiras XI
2592933397,50.0,2.0,1.0,1.0,184900,apartment,Luís Anselmo
2682079195,80.0,2.0,1.0,1.0,80000,house,Vila Laura
2679050072,90.0,3.0,2.0,1.0,195000,house,Macaubas
2667338201,51.0,2.0,1.5,1.0,295000,,Santa Teresa
2681776326,49.0,1.0,1.0,2.0,195000,apartment,Costa Azul
2678057135,94.0,3.0,2.0,2.0,310000,apartment,Caminho de Areia
2680287503,55.0,3.0,2.0,,94890,house,Cosme de Farias
2681623999,100.0,2.0,2.0,1.0,55000,house,Pirajá
2682072047,80.0,2.0,1.0,1.0,90000,house,Pituba
2636913580,70.0,2.0,1.0,,70000,house,Sao Caetano
2681242305,94.0,2.0,3.0,2.0,680000,apartment,Patamares
2681851996,98.0,2.0,1.0,1.0,55000,house,Boca da Mata
2673115130,80.0,3.0,1.0,1.0,62000,house,Roma
2681953621,143.0,3.0,3.0,1.0,249560,apartment,Parque Bela Vista
2680858008,121.0,4.0,4.0,2.0,649180,house,Stella Maris
2677293201,81.0,3.0,2.0,1.0,640000,apartment,Vila Laura
2681794397,69.0,2.0,1.0,,93000,apartment,Valéria
2673037175,90.0,2.0,1.0,1.0,110000,house,Pituaçu
2656478329,90.0,3.0,3.0,2.0,670000,apartment,Pituba
2681775961,55.0,2.0,1.0,1.0,200000,apartment,Costa Azul
2681861186,85.0,2.0,1.0,1.0,65000,house,Matatu
2681869299,83.0,2.0,1.0,1.0,75000,house,Barbalho
2681951231,143.0,3.0,3.0,1.0,299180,apartment,Parque Bela Vista
2674252589,50.0,2.0,1.0,,92000,house,Mata Escura
